Weight,FatContent,ProductVisibility,ProductType,MRP,EstablishmentYear,StoreSize,CityTier,StoreCategory,StoreSales,SqrtProductVisibility,ProductGroup,MRP_bin,Vis_bin
10.0,Low Fat,0.089291137,Health and Hygiene,146.7102,1999,Medium,Tier 1,Supermarket Type1,3791.0652,0.2988162261323839,Household & Hygiene,Mid-High,Mid-High
13.1,Regular,0.059511812,Fruits and Vegetables,128.0678,1985,Medium,Tier 3,Supermarket Type3,2797.6916,0.2439504293908908,Fresh Produce,Mid-Low,Mid-High
8.85,Regular,0.113123893,Soft Drinks,122.5388,2009,Medium,Tier 3,Supermarket Type2,1609.9044,0.336338955519577,Snacks & Beverages,Mid-Low,High
13.15,Regular,0.123111453,Snack Foods,36.9874,1985,Medium,Tier 3,Supermarket Type3,388.1614,0.35087241698372357,Snacks & Beverages,Low,High
13.15,Low Fat,0.026480954,Snack Foods,87.6198,1985,Medium,Tier 3,Supermarket Type3,2180.495,0.16272969612212762,Snacks & Beverages,Low,Low
13.35,Low Fat,0.102511504,Dairy,230.6352,1997,Small,Tier 1,Supermarket Type1,3435.528,0.3201741775971323,Dairy & Frozen,High,High
9.8,Low Fat,0.02681843,Meat,126.002,1987,High,Tier 3,Supermarket Type1,2150.534,0.1637633353348667,Fresh Produce,Mid-Low,Low
13.6,Low Fat,0.117818348,Snack Foods,192.9136,1999,Medium,Tier 1,Supermarket Type1,2527.3768,0.34324677420188526,Snacks & Beverages,High,High
12.15,Regular,0.042277867,Canned,126.5046,1987,High,Tier 3,Supermarket Type1,373.5138,0.2056158238074103,Canned & Packaged,Mid-Low,Mid-Low
6.42,Low Fat,0.089498926,Dairy,178.1002,1998,Small,Tier 3,Grocery Store,358.2004,0.29916371103461065,Dairy & Frozen,Mid-High,Mid-High
19.6,Low Fat,0.046559448,Health and Hygiene,153.3024,2002,Small,Tier 2,Supermarket Type1,2428.8384,0.21577638424999154,Household & Hygiene,Mid-High,Mid-Low
10.0,Low Fat,0.025879577,Canned,265.2226,2002,Small,Tier 2,Supermarket Type1,5815.0972,0.16087130570738836,Canned & Packaged,High,Low
15.85,Regular,0.121632721,Baking Goods,60.622,1997,Small,Tier 1,Supermarket Type1,2576.646,0.3487588292789159,Grains & Bakery,Low,High
7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,1997,Small,Tier 1,Supermarket Type1,3134.5864,0.2603453706137292,Household & Hygiene,Mid-High,Mid-High
10.195,Low Fat,0.159803853,Frozen Foods,141.5154,1987,High,Tier 3,Supermarket Type1,850.8924,0.3997547410600655,Dairy & Frozen,Mid-High,High
9.895,Regular,0.028696932,Canned,117.0492,1987,High,Tier 3,Supermarket Type1,810.9444,0.16940168830327518,Canned & Packaged,Mid-Low,Low
10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,2007,Small,Tier 2,Supermarket Type1,3121.2704,0.25503250969239194,Fresh Produce,High,Mid-High
12.15,Low Fat,0.028760013,Household,151.4708,2007,Small,Tier 2,Supermarket Type1,4815.0656,0.16958777373383968,Household & Hygiene,Mid-High,Low
7.905,Low Fat,0.010053105,Snack Foods,249.0408,2009,Medium,Tier 3,Supermarket Type2,6258.52,0.10026517341529909,Snacks & Beverages,High,Low
9.195,Low Fat,0.048157338,Household,106.1622,2002,Small,Tier 2,Supermarket Type1,2117.244,0.21944780244969417,Household & Hygiene,Mid-Low,Mid-Low
8.365,Low Fat,0.071958197,Hard Drinks,38.0506,1999,Medium,Tier 1,Supermarket Type1,796.9626,0.2682502506988577,Snacks & Beverages,Low,Mid-High
15.1,Low Fat,0.173481304,Snack Foods,194.511,1997,Small,Tier 1,Supermarket Type1,4910.275,0.41651086900584,Snacks & Beverages,High,High
12.15,Low Fat,0.061082177,Canned,180.0344,1985,Small,Tier 1,Grocery Store,892.172,0.24714808718660963,Canned & Packaged,Mid-High,Mid-High
10.0,Low Fat,0.058778429,Fruits and Vegetables,246.9144,2009,Medium,Tier 3,Supermarket Type2,3185.1872,0.24244263032725907,Fresh Produce,High,Mid-High
7.97,Regular,0.040071131,Meat,87.3514,2002,Small,Tier 2,Supermarket Type1,1062.6168,0.20017774851366474,Fresh Produce,Low,Mid-Low
13.1,Low Fat,0.012090074,Fruits and Vegetables,38.2848,1985,Medium,Tier 3,Supermarket Type3,484.7024,0.10995487256142858,Fresh Produce,Low,Low
12.85,Regular,0.15028599,Frozen Foods,51.0692,1985,Small,Tier 1,Grocery Store,147.8076,0.3876673703060396,Dairy & Frozen,Low,High
13.15,Low Fat,0.026015519,Snack Foods,255.8356,1985,Medium,Tier 3,Supermarket Type3,2543.356,0.161293270163389,Snacks & Beverages,High,Low
19.35,Low Fat,0.033082215,Meat,172.5738,2004,Small,Tier 2,Supermarket Type1,4865.6664,0.1818851698187623,Fresh Produce,Mid-High,Mid-Low
13.65,Regular,0.078946455,Dairy,186.024,2002,Small,Tier 2,Supermarket Type1,1118.544,0.28097411802513056,Dairy & Frozen,High,Mid-High
17.6,Low Fat,0.041700756,Soft Drinks,164.8526,2002,Small,Tier 2,Supermarket Type1,2302.3364,0.20420762963219566,Snacks & Beverages,Mid-High,Mid-Low
8.645,Low Fat,0.143422643,Health and Hygiene,95.841,1997,Small,Tier 1,Supermarket Type1,2027.361,0.3787118205179236,Household & Hygiene,Mid-Low,High
15.6,Regular,0.105296072,Snack Foods,170.1764,1997,Small,Tier 1,Supermarket Type1,3435.528,0.32449356233984056,Snacks & Beverages,Mid-High,High
15.85,Regular,0.121531501,Baking Goods,59.222,1987,High,Tier 3,Supermarket Type1,599.22,0.3486136844703604,Grains & Bakery,Low,High
18.25,Low Fat,0.06227604,Starchy Foods,164.7526,2002,Small,Tier 2,Supermarket Type1,4604.6728,0.24955167801479516,Grains & Bakery,Mid-High,Mid-High
7.855,Low Fat,0.011324862,Canned,189.6188,2007,Small,Tier 2,Supermarket Type1,2285.0256,0.10641833488642828,Canned & Packaged,High,Low
7.825,Low Fat,0.186357148,Household,254.3698,1999,Medium,Tier 1,Supermarket Type1,5580.7356,0.43169103303172746,Household & Hygiene,High,High
8.39,Regular,0.024205661,Frozen Foods,114.0176,1997,Small,Tier 1,Supermarket Type1,2290.352,0.15558168594021599,Dairy & Frozen,Mid-Low,Low
12.85,Low Fat,0.033230816,Snack Foods,172.3422,1999,Medium,Tier 1,Supermarket Type1,1207.0954,0.1822932143553347,Snacks & Beverages,Mid-High,Mid-Low
11.65,Low Fat,0.113720344,Baking Goods,89.9804,1985,Small,Tier 1,Grocery Store,643.1628,0.3372244712354072,Grains & Bakery,Low,High
19.0,Low Fat,0.112556507,Frozen Foods,104.9622,2007,Small,Tier 2,Supermarket Type1,1587.933,0.3354944217121948,Dairy & Frozen,Mid-Low,High
5.905,Low Fat,0.0534335745,Canned,222.5456,2002,Small,Tier 2,Supermarket Type1,5305.0944,0.2311570342862185,Canned & Packaged,High,Mid-Low
7.76,Low Fat,0.059352241,Snack Foods,101.87,1997,Small,Tier 1,Supermarket Type1,1697.79,0.24362315366155163,Snacks & Beverages,Mid-Low,Mid-High
11.8,Regular,0.014087057,Frozen Foods,180.3344,1997,Small,Tier 1,Supermarket Type1,1427.4752,0.11868890849611854,Dairy & Frozen,Mid-High,Low
16.75,Low Fat,0.045230944,Snack Foods,187.9556,2009,Medium,Tier 3,Supermarket Type2,4693.89,0.21267567797000203,Snacks & Beverages,High,Mid-Low
11.65,Regular,0.031382044,Baking Goods,171.3764,1985,Medium,Tier 3,Supermarket Type3,3091.9752,0.17714977843621482,Grains & Bakery,Mid-High,Low
15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,2007,Small,Tier 2,Supermarket Type1,2479.4392,0.3555261734387498,Fresh Produce,Mid-High,High
6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,2004,Small,Tier 2,Supermarket Type1,2716.464,0.1593860031495865,Fresh Produce,Mid-High,Low
10.695,Regular,0.039057677,Breakfast,155.963,1985,Medium,Tier 3,Supermarket Type3,3285.723,0.1976301520517555,Grains & Bakery,Mid-High,Mid-Low
6.305,Regular,0.123115764,Snack Foods,95.6436,1997,Small,Tier 1,Supermarket Type1,661.8052,0.3508785601885644,Snacks & Beverages,Mid-Low,High
20.85,Low Fat,0.039624006,Meat,117.2808,1999,Medium,Tier 1,Supermarket Type1,1523.3504,0.19905779562730017,Fresh Produce,Mid-Low,Mid-Low
20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,1998,Small,Tier 3,Grocery Store,369.519,0.20105022506826498,Fresh Produce,Mid-Low,Mid-Low
8.895,Low Fat,0.105274111,Dairy,39.9138,1999,Medium,Tier 1,Supermarket Type1,690.4346,0.3244597216913064,Dairy & Frozen,Low,High
19.6,Low Fat,0.033970195,Soft Drinks,55.1614,2002,Small,Tier 2,Supermarket Type1,1381.535,0.18431005127230582,Snacks & Beverages,Low,Mid-Low
19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,2004,Small,Tier 2,Supermarket Type1,622.523,0.23067867695129518,Fresh Produce,Low,Mid-Low
9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,2004,Small,Tier 2,Supermarket Type1,1274.3412,0.15613681820762199,Household & Hygiene,Mid-Low,Low
12.85,Low Fat,0.009714595,Frozen Foods,120.0414,1985,Small,Tier 1,Grocery Store,487.3656,0.09856264505379307,Dairy & Frozen,Mid-Low,Low
12.15,Low Fat,0.131383762,Frozen Foods,246.046,1999,Medium,Tier 1,Supermarket Type1,1231.73,0.36246898074180084,Dairy & Frozen,High,High
8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,2004,Small,Tier 2,Supermarket Type1,3755.112,0.2731539675714047,Fresh Produce,High,Mid-High
13.15,Low Fat,0.028459761,Household,149.9708,1985,Medium,Tier 3,Supermarket Type3,4363.6532,0.16870021043258956,Household & Hygiene,Mid-High,Low
8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,1997,Small,Tier 1,Supermarket Type1,1314.2892,0.27317979610505605,Fresh Produce,High,Mid-High
13.3,Low Fat,0.063695084,Frozen Foods,151.0708,2002,Small,Tier 2,Supermarket Type1,1805.6496,0.2523788501439849,Dairy & Frozen,Mid-High,Mid-High
13.15,Regular,0.045797829,Snack Foods,178.5344,1985,Medium,Tier 3,Supermarket Type3,2854.9504,0.21400427332181943,Snacks & Beverages,Mid-High,Mid-Low
8.31,Regular,0.115857223,Snack Foods,179.1028,1999,Medium,Tier 1,Supermarket Type1,3896.2616,0.3403780589285978,Snacks & Beverages,Mid-High,High
16.75,Regular,0.024832806,Soft Drinks,38.7822,1987,High,Tier 3,Supermarket Type1,667.7974,0.15758428221113932,Snacks & Beverages,Low,Low
19.75,Low Fat,0.034027909,Snack Foods,212.0902,2009,Medium,Tier 3,Supermarket Type2,3185.853,0.18446655252375702,Snacks & Beverages,High,Mid-Low
17.1,Regular,0.0467696,Canned,141.1838,1987,High,Tier 3,Supermarket Type1,2247.7408,0.21626280308920443,Canned & Packaged,Mid-High,Mid-Low
10.5,Regular,0.116576702,Baking Goods,163.121,1987,High,Tier 3,Supermarket Type1,1794.331,0.3414333053467397,Grains & Bakery,Mid-High,High
6.635,Regular,0.062343432,Baking Goods,121.3098,2002,Small,Tier 2,Supermarket Type1,2530.7058,0.24968666764567146,Grains & Bakery,Mid-Low,Mid-High
14.15,Low Fat,0.035913805,Soft Drinks,41.4138,1987,High,Tier 3,Supermarket Type1,812.276,0.18950937971509485,Snacks & Beverages,Low,Mid-Low
13.3,Low Fat,0.079806266,Dairy,232.53,1997,Small,Tier 1,Supermarket Type1,699.09,0.2825000283185827,Dairy & Frozen,High,Mid-High
8.89,Low Fat,0.005505481,Frozen Foods,102.4016,2007,Small,Tier 2,Supermarket Type1,2732.4432,0.07419892856369288,Dairy & Frozen,Mid-Low,Low
12.35,Regular,0.064625342,Meat,176.937,1985,Small,Tier 1,Grocery Store,176.437,0.25421514903718856,Fresh Produce,Mid-High,Mid-High
13.15,Low Fat,0.071636937,Snack Foods,121.7098,1985,Medium,Tier 3,Supermarket Type3,4097.3332,0.2676507743310301,Snacks & Beverages,Mid-Low,Mid-High
9.1,Regular,0.0586417345,Breads,173.2054,2002,Small,Tier 2,Supermarket Type1,3151.8972,0.242160555210794,Grains & Bakery,Mid-High,Mid-High
7.5,Low Fat,0.032677678,Frozen Foods,239.0906,1999,Medium,Tier 1,Supermarket Type1,5942.265,0.18076968219256237,Dairy & Frozen,High,Mid-Low
16.85,Regular,0.160760054,Frozen Foods,192.4478,2007,Small,Tier 2,Supermarket Type1,4843.695,0.4009489418866198,Dairy & Frozen,High,High
7.485,Low Fat,0.06911065,Snack Foods,109.0228,2004,Small,Tier 2,Supermarket Type1,2542.0244,0.26288904503611404,Snacks & Beverages,Mid-Low,Mid-High
11.6,Low Fat,0.041177505,Soft Drinks,140.3154,2007,Small,Tier 2,Supermarket Type1,2552.6772,0.20292241128076516,Snacks & Beverages,Mid-Low,Mid-Low
11.65,Low Fat,0.040081193,Snack Foods,227.0694,2009,Medium,Tier 3,Supermarket Type2,1141.847,0.2002028795996701,Snacks & Beverages,High,Mid-Low
13.0,Low Fat,0.035307322,Household,47.5034,2007,Small,Tier 2,Supermarket Type1,680.4476,0.18790242680710648,Household & Hygiene,Low,Mid-Low
12.65,Low Fat,0.063017847,Soft Drinks,159.0578,2002,Small,Tier 2,Supermarket Type1,2085.9514,0.25103355751771517,Snacks & Beverages,Mid-High,Mid-High
20.25,Regular,0.171938781,Canned,92.512,1998,Small,Tier 3,Grocery Store,186.424,0.4146550144397147,Canned & Packaged,Low,High
8.6,Regular,0.040197932,Canned,190.153,2004,Small,Tier 2,Supermarket Type1,3036.048,0.20049421936804063,Canned & Packaged,High,Mid-Low
12.6,Low Fat,0.049058014,Breads,62.7194,2007,Small,Tier 2,Supermarket Type1,866.8716,0.2214904377168459,Grains & Bakery,Low,Mid-Low
17.7,Low Fat,0.01161096,Frozen Foods,95.041,2004,Small,Tier 2,Supermarket Type1,868.869,0.10775416465269451,Dairy & Frozen,Mid-Low,Low
14.15,Low Fat,0.183507295,Soft Drinks,82.4276,1997,Small,Tier 1,Supermarket Type1,1137.1864,0.42837751458264006,Snacks & Beverages,Low,High
19.25,Low Fat,0.102349519,Dairy,52.7956,2007,Small,Tier 2,Supermarket Type1,928.1252,0.31992111371399046,Dairy & Frozen,Low,High
8.88,Low Fat,0.086708987,Hard Drinks,151.7682,1987,High,Tier 3,Supermarket Type1,762.341,0.294463897617348,Snacks & Beverages,Mid-High,Mid-High
20.5,Low Fat,0.032835147,Household,40.2822,2002,Small,Tier 2,Supermarket Type1,707.0796,0.18120471020368098,Household & Hygiene,Low,Mid-Low
13.5,Low Fat,0.07266912,Household,160.292,1997,Small,Tier 1,Supermarket Type1,1438.128,0.269572105381844,Household & Hygiene,Mid-High,Mid-High
8.89,Low Fat,0.009163216,Frozen Foods,101.7016,1998,Small,Tier 3,Grocery Store,101.2016,0.09572468856047535,Dairy & Frozen,Mid-Low,Low
7.855,Low Fat,0.011307038,Canned,188.5188,2009,Medium,Tier 3,Supermarket Type2,952.094,0.10633455694175813,Canned & Packaged,High,Low
7.235,Low Fat,0.076855628,Household,116.0492,1997,Small,Tier 1,Supermarket Type1,1969.4364,0.2772284761708292,Household & Hygiene,Mid-Low,Mid-High
13.175,Low Fat,0.059956876,Starchy Foods,165.4526,1985,Medium,Tier 3,Supermarket Type3,5262.4832,0.24486093195934708,Grains & Bakery,Mid-High,Mid-High
6.92,Low Fat,0.038532062,Dairy,60.5852,2002,Small,Tier 2,Supermarket Type1,1314.2892,0.19629585324198776,Dairy & Frozen,Low,Mid-Low
9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,2007,Small,Tier 2,Supermarket Type1,535.3032,0.20786914393435116,Fresh Produce,Low,Mid-Low
18.5,Low Fat,0.056816465,Others,132.1284,1998,Small,Tier 3,Grocery Store,263.6568,0.2383620460559944,Canned & Packaged,Mid-Low,Mid-Low
8.02,Low Fat,0.019866705,Household,154.5972,2004,Small,Tier 2,Supermarket Type1,1402.1748,0.14094929939520806,Household & Hygiene,Mid-High,Low
9.195,Low Fat,0.048331717,Household,105.1622,2007,Small,Tier 2,Supermarket Type1,1693.7952,0.2198447565897354,Household & Hygiene,Mid-Low,Mid-Low
12.8,Low Fat,0.091221855,Others,105.5938,2002,Small,Tier 2,Supermarket Type1,2143.876,0.30202955981161844,Canned & Packaged,Mid-Low,Mid-High
16.6,Low Fat,0.027622076,Household,177.6344,1999,Medium,Tier 1,Supermarket Type1,2676.516,0.16619890493020703,Household & Hygiene,Mid-High,Low
14.0,Regular,0.063079544,Frozen Foods,53.064,2004,Small,Tier 2,Supermarket Type1,905.488,0.25115641341602246,Dairy & Frozen,Low,Mid-High
16.0,Low Fat,0.060836524,Starchy Foods,226.8404,2004,Small,Tier 2,Supermarket Type1,6301.1312,0.24665061118918802,Grains & Bakery,High,Mid-High
17.6,Low Fat,0.082316506,Health and Hygiene,160.692,2004,Small,Tier 2,Supermarket Type1,1597.92,0.28690853246287396,Household & Hygiene,Mid-High,Mid-High
21.25,Low Fat,0.155350299,Snack Foods,178.237,2004,Small,Tier 2,Supermarket Type1,529.311,0.3941450228025212,Snacks & Beverages,Mid-High,High
7.235,Low Fat,0.076841095,Household,117.5492,2004,Small,Tier 2,Supermarket Type1,1969.4364,0.2772022636992707,Household & Hygiene,Mid-Low,Mid-High
14.6,Low Fat,0.151419185,Soft Drinks,50.3692,2007,Small,Tier 2,Supermarket Type1,1034.6532,0.38912618133453836,Snacks & Beverages,Low,High
13.85,Regular,0.026001976,Frozen Foods,161.521,2009,Medium,Tier 3,Supermarket Type2,1794.331,0.16125128216544513,Dairy & Frozen,Mid-High,Low
13.65,Regular,0.073209447,Frozen Foods,197.6426,2009,Medium,Tier 3,Supermarket Type2,2768.3964,0.2705724431644878,Dairy & Frozen,High,Mid-High
11.8,Low Fat,0.041683481,Soft Drinks,31.29,1985,Medium,Tier 3,Supermarket Type3,898.83,0.20416532761465644,Snacks & Beverages,Low,Mid-Low
7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,1997,Small,Tier 1,Supermarket Type1,3169.208,0.20630136208954122,Fresh Produce,High,Mid-Low
18.35,Low Fat,0.014081156,Household,223.5746,2009,Medium,Tier 3,Supermarket Type2,3589.9936,0.11866404678755903,Household & Hygiene,High,Low
5.465,Regular,0.062343432,Baking Goods,132.5626,2009,Medium,Tier 3,Supermarket Type2,262.3252,0.24968666764567146,Grains & Bakery,Mid-Low,Mid-High
18.6,Low Fat,0.152918384,Breakfast,99.8358,2007,Small,Tier 2,Supermarket Type1,1910.1802,0.39104780270447753,Grains & Bakery,Mid-Low,High
13.85,Low Fat,0.030969274,Soft Drinks,140.9154,2007,Small,Tier 2,Supermarket Type1,1701.7848,0.17598089100808645,Snacks & Beverages,Mid-Low,Low
14.0,Regular,0.060376776,Frozen Foods,154.5656,1987,High,Tier 3,Supermarket Type1,2471.4496,0.24571686144829377,Dairy & Frozen,Mid-High,Mid-High
14.0,Regular,0.04192285,Snack Foods,54.764,1987,High,Tier 3,Supermarket Type1,1331.6,0.2047507020744984,Snacks & Beverages,Low,Mid-Low
13.1,Low Fat,0.077367431,Fruits and Vegetables,97.0094,1985,Medium,Tier 3,Supermarket Type3,1808.9786,0.27815001527952504,Fresh Produce,Mid-Low,Mid-High
5.905,Low Fat,0.045838211,Canned,222.5456,2009,Medium,Tier 3,Supermarket Type2,3315.684,0.2140986011164015,Canned & Packaged,High,Mid-Low
7.27,Low Fat,0.071077939,Soft Drinks,114.2518,1997,Small,Tier 1,Supermarket Type1,2618.5914,0.26660446170310054,Snacks & Beverages,Mid-Low,Mid-High
6.155,Regular,0.094659871,Meat,214.556,1997,Small,Tier 1,Supermarket Type1,2769.728,0.30766844329570103,Fresh Produce,High,High
19.5,Regular,0.077608838,Soft Drinks,233.4958,2007,Small,Tier 2,Supermarket Type1,5375.0034,0.2785836283775484,Snacks & Beverages,High,Mid-High
15.2,Low Fat,0.021327477,Canned,216.8824,2007,Small,Tier 2,Supermarket Type1,2838.9712,0.1460392995053044,Canned & Packaged,High,Low
12.15,Regular,0.042485444,Canned,125.0046,2009,Medium,Tier 3,Supermarket Type2,1743.0644,0.20611997477197594,Canned & Packaged,Mid-Low,Mid-Low
13.15,Low Fat,0.025578526,Household,198.8084,1985,Medium,Tier 3,Supermarket Type3,5555.4352,0.15993287967144218,Household & Hygiene,High,Low
12.6,Low Fat,0.0489808,Breads,61.9194,2009,Medium,Tier 3,Supermarket Type2,619.194,0.22131606358328354,Grains & Bakery,Low,Mid-Low
14.5,Low Fat,0.019471688,Others,164.821,2004,Small,Tier 2,Supermarket Type1,2120.573,0.1395409903935041,Canned & Packaged,Mid-High,Low
16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,2007,Small,Tier 2,Supermarket Type1,3823.0236,0.35059784939443084,Fresh Produce,Mid-High,High
11.8,Regular,0.057373797,Meat,151.4366,1987,High,Tier 3,Supermarket Type1,1360.2294,0.23952828016749922,Fresh Produce,Mid-High,Mid-Low
13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,1987,High,Tier 3,Supermarket Type1,3969.4996,0.21013233211478904,Fresh Produce,Mid-High,Mid-Low
17.85,Low Fat,0.0586417345,Breads,196.5794,1998,Small,Tier 3,Grocery Store,585.2382,0.242160555210794,Grains & Bakery,High,Mid-High
12.3,Regular,0.064750025,Starchy Foods,92.6804,2002,Small,Tier 2,Supermarket Type1,1010.6844,0.254460262123578,Grains & Bakery,Low,Mid-High
11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,1998,Small,Tier 3,Grocery Store,161.1236,0.313548115924813,Household & Hygiene,Low,High
11.1,Low Fat,0.176573035,Baking Goods,157.4604,2002,Small,Tier 2,Supermarket Type1,3010.7476,0.42020594355625196,Grains & Bakery,Mid-High,High
12.85,Regular,0.060134441,Frozen Foods,153.0656,1985,Medium,Tier 3,Supermarket Type3,6024.1584,0.24522324726664885,Dairy & Frozen,Mid-High,Mid-High
